time_id,scraping_date,year,quarter,month,day,day_name,is_weekend
130,2011-03-31,2011,1,3,31,Thursday,False
131,2006-10-20,2006,4,10,20,Friday,False
132,1997-02-27,1997,1,2,27,Thursday,False
133,2011-11-18,2011,4,11,18,Friday,False
134,2001-08-10,2001,3,8,10,Friday,False
135,2007-03-05,2007,1,3,5,Monday,False
136,2015-04-24,2015,2,4,24,Friday,False
137,2006-02-03,2006,1,2,3,Friday,False
138,1997-02-28,1997,1,2,28,Friday,False
139,1997-06-18,1997,2,6,18,Wednesday,False
140,2015-07-23,2015,3,7,23,Thursday,False
141,2000-05-23,2000,2,5,23,Tuesday,False
142,2005-11-25,2005,4,11,25,Friday,False
143,2000-03-09,2000,1,3,9,Thursday,False
144,2003-05-02,2003,2,5,2,Friday,False
145,2002-04-05,2002,2,4,5,Friday,False
146,2014-09-22,2014,3,9,22,Monday,False
147,1995-07-17,1995,3,7,17,Monday,False
148,2006-08-31,2006,3,8,31,Thursday,False
149,1999-12-03,1999,4,12,3,Friday,False
150,1999-09-07,1999,3,9,7,Tuesday,False
151,1998-05-22,1998,2,5,22,Friday,False
152,2016-03-24,2016,1,3,24,Thursday,False
153,1998-11-06,1998,4,11,6,Friday,False
154,2002-03-25,2002,1,3,25,Monday,False
155,1996-09-04,1996,3,9,4,Wednesday,False
156,2015-12-15,2015,4,12,15,Tuesday,False
157,2013-08-22,2013,3,8,22,Thursday,False
158,2016-07-29,2016,3,7,29,Friday,False
159,2006-09-29,2006,3,9,29,Friday,False
160,2001-11-02,2001,4,11,2,Friday,False
161,1997-12-12,1997,4,12,12,Friday,False
162,2004-11-15,2004,4,11,15,Monday,False
163,2001-03-26,2001,1,3,26,Monday,False
164,2004-04-29,2004,2,4,29,Thursday,False
165,2005-12-16,2005,4,12,16,Friday,False
166,2004-10-22,2004,4,10,22,Friday,False
167,2002-08-19,2002,3,8,19,Monday,False
168,2005-05-16,2005,2,5,16,Monday,False
169,2003-02-21,2003,1,2,21,Friday,False
170,2017-04-10,2017,2,4,10,Monday,False
171,2001-10-05,2001,4,10,5,Friday,False
172,2010-12-23,2010,4,12,23,Thursday,False
173,2014-05-15,2014,2,5,15,Thursday,False
174,1996-11-29,1996,4,11,29,Friday,False
175,2015-09-18,2015,3,9,18,Friday,False
176,2008-12-18,2008,4,12,18,Thursday,False
177,2014-10-02,2014,4,10,2,Thursday,False
178,2009-02-11,2009,1,2,11,Wednesday,False
179,2001-08-31,2001,3,8,31,Friday,False
180,2014-07-01,2014,3,7,1,Tuesday,False
181,1998-07-02,1998,3,7,2,Thursday,False
182,2003-04-11,2003,2,4,11,Friday,False
183,2007-09-25,2007,3,9,25,Tuesday,False
184,2003-02-12,2003,1,2,12,Wednesday,False
185,2005-05-05,2005,2,5,5,Thursday,False
186,1999-09-24,1999,3,9,24,Friday,False
187,2001-04-20,2001,2,4,20,Friday,False
188,2003-09-22,2003,3,9,22,Monday,False
189,2015-07-08,2015,3,7,8,Wednesday,False
190,2017-02-24,2017,1,2,24,Friday,False
191,2006-10-12,2006,4,10,12,Thursday,False
192,2015-06-12,2015,2,6,12,Friday,False
193,2004-02-13,2004,1,2,13,Friday,False
194,2004-06-25,2004,2,6,25,Friday,False
195,2015-05-26,2015,2,5,26,Tuesday,False
196,2003-01-10,2003,1,1,10,Friday,False
197,2007-01-19,2007,1,1,19,Friday,False
198,2003-01-24,2003,1,1,24,Friday,False
199,2008-04-30,2008,2,4,30,Wednesday,False
200,1998-07-31,1998,3,7,31,Friday,False
201,2014-05-01,2014,2,5,1,Thursday,False
202,1997-09-25,1997,3,9,25,Thursday,False
203,2001-02-20,2001,1,2,20,Tuesday,False
204,2008-02-08,2008,1,2,8,Friday,False
205,1999-12-10,1999,4,12,10,Friday,False
206,2004-11-02,2004,4,11,2,Tuesday,False
207,2004-04-30,2004,2,4,30,Friday,False
208,1997-07-25,1997,3,7,25,Friday,False
209,2007-09-07,2007,3,9,7,Friday,False
210,2015-06-09,2015,2,6,9,Tuesday,False
211,2012-10-29,2012,4,10,29,Monday,False
212,2015-05-01,2015,2,5,1,Friday,False
213,1999-11-19,1999,4,11,19,Friday,False
214,1998-09-18,1998,3,9,18,Friday,False
215,2003-08-07,2003,3,8,7,Thursday,False
216,2002-10-15,2002,4,10,15,Tuesday,False
217,2004-10-26,2004,4,10,26,Tuesday,False
218,2016-02-12,2016,1,2,12,Friday,False
219,2004-11-12,2004,4,11,12,Friday,False
220,2003-03-05,2003,1,3,5,Wednesday,False
221,2014-08-06,2014,3,8,6,Wednesday,False
222,1997-04-04,1997,2,4,4,Friday,False
223,2013-05-17,2013,2,5,17,Friday,False
224,2000-01-17,2000,1,1,17,Monday,False
225,2013-11-08,2013,4,11,8,Friday,False
226,2000-08-03,2000,3,8,3,Thursday,False
227,1999-09-17,1999,3,9,17,Friday,False
228,1999-06-23,1999,2,6,23,Wednesday,False
229,2016-03-01,2016,1,3,1,Tuesday,False
230,2014-10-31,2014,4,10,31,Friday,False
231,2014-07-30,2014,3,7,30,Wednesday,False
232,2000-06-28,2000,2,6,28,Wednesday,False
233,2016-11-03,2016,4,11,3,Thursday,False
234,2006-02-10,2006,1,2,10,Friday,False
235,2002-12-13,2002,4,12,13,Friday,False
236,2004-06-18,2004,2,6,18,Friday,False
237,2004-06-15,2004,2,6,15,Tuesday,False
238,2003-03-07,2003,1,3,7,Friday,False
239,2016-04-15,2016,2,4,15,Friday,False
240,2016-01-22,2016,1,1,22,Friday,False
241,2002-08-21,2002,3,8,21,Wednesday,False
242,2001-09-07,2001,3,9,7,Friday,False
243,2006-09-15,2006,3,9,15,Friday,False
244,2013-04-05,2013,2,4,5,Friday,False
245,2001-12-19,2001,4,12,19,Wednesday,False
246,2017-03-31,2017,1,3,31,Friday,False
247,1999-10-29,1999,4,10,29,Friday,False
248,2000-07-20,2000,3,7,20,Thursday,False
249,2010-04-20,2010,2,4,20,Tuesday,False
250,1996-04-26,1996,2,4,26,Friday,False
251,2013-08-08,2013,3,8,8,Thursday,False
252,2012-02-24,2012,1,2,24,Friday,False
253,1999-09-01,1999,3,9,1,Wednesday,False
254,2011-11-16,2011,4,11,16,Wednesday,False
255,1995-09-25,1995,3,9,25,Monday,False
256,2006-02-24,2006,1,2,24,Friday,False
257,2002-12-23,2002,4,12,23,Monday,False
258,2010-08-16,2010,3,8,16,Monday,False
259,2007-05-31,2007,2,5,31,Thursday,False
260,1999-05-01,1999,2,5,1,Saturday,True
261,1996-04-12,1996,2,4,12,Friday,False
262,2015-06-29,2015,2,6,29,Monday,False
263,2001-05-17,2001,2,5,17,Thursday,False
264,2000-04-12,2000,2,4,12,Wednesday,False
265,2005-12-23,2005,4,12,23,Friday,False
266,1998-05-29,1998,2,5,29,Friday,False
267,2013-04-22,2013,2,4,22,Monday,False
268,1996-04-03,1996,2,4,3,Wednesday,False
269,2002-02-22,2002,1,2,22,Friday,False
270,1996-11-28,1996,4,11,28,Thursday,False
271,2001-03-27,2001,1,3,27,Tuesday,False
272,2004-09-28,2004,3,9,28,Tuesday,False
273,2000-03-17,2000,1,3,17,Friday,False
274,2000-09-29,2000,3,9,29,Friday,False
275,2012-07-16,2012,3,7,16,Monday,False
276,2005-12-09,2005,4,12,9,Friday,False
277,2009-08-13,2009,3,8,13,Thursday,False
278,2008-08-15,2008,3,8,15,Friday,False
279,1996-05-14,1996,2,5,14,Tuesday,False
280,2005-01-07,2005,1,1,7,Friday,False
281,2003-04-14,2003,2,4,14,Monday,False
282,2000-09-01,2000,3,9,1,Friday,False
283,2007-06-08,2007,2,6,8,Friday,False
284,2007-10-22,2007,4,10,22,Monday,False
285,2011-09-09,2011,3,9,9,Friday,False
286,1996-12-11,1996,4,12,11,Wednesday,False
287,2011-06-09,2011,2,6,9,Thursday,False
288,2004-09-17,2004,3,9,17,Friday,False
289,1998-08-28,1998,3,8,28,Friday,False
290,2004-07-23,2004,3,7,23,Friday,False
291,2002-02-08,2002,1,2,8,Friday,False
292,2014-06-20,2014,2,6,20,Friday,False
293,2016-11-11,2016,4,11,11,Friday,False
294,2011-09-02,2011,3,9,2,Friday,False
295,2006-12-05,2006,4,12,5,Tuesday,False
296,2012-12-10,2012,4,12,10,Monday,False
297,2006-08-10,2006,3,8,10,Thursday,False
298,2005-05-17,2005,2,5,17,Tuesday,False
299,2000-01-28,2000,1,1,28,Friday,False
300,2005-03-21,2005,1,3,21,Monday,False
301,2015-06-24,2015,2,6,24,Wednesday,False
302,2003-07-25,2003,3,7,25,Friday,False
303,2004-01-16,2004,1,1,16,Friday,False
304,1995-08-04,1995,3,8,4,Friday,False
305,2009-08-02,2009,3,8,2,Sunday,True
306,2001-01-05,2001,1,1,5,Friday,False
